chunk_id,doc_id,chunk_text
0,0,СПИСКИ В PYTHON: ПОЛНОЕ РУКОВОДСТВО Введение в списки Список (list) в Python - это изменяемая упорядоченная коллекция элементов. Списки являются одной...
1,0,"список Методы списков append(x) - добавляет x в конец списка extend(iterable) - расширяет список элементами из iterable insert(i, x) - вставляет x на ..."
2,1,СЛОВАРИ В PYTHON: ПОЛНОЕ РУКОВОДСТВО Что такое словарь Словарь (dict) в Python - это неупорядоченная коллекция пар ключ-значение. Словари реализованы ...
3,1,"- возвращает значение по ключу или default pop(key[, default]) - удаляет ключ и возвращает значение popitem() - удаляет и возвращает последнюю добавле..."
4,2,"ФУНКЦИИ В PYTHON: ПОЛНОЕ РУКОВОДСТВО Определение функций Функции в Python определяются с помощью ключевого слова def, за которым следует имя функции, ..."
5,2,"x, y: x + y Используются там, где нужна функция на один раз: sorted(list, key=lambda x: x[1]) Рекурсия Функции могут вызывать сами себя Важно: огранич..."
6,3,"РАБОТА С ФАЙЛАМИ И ИСКЛЮЧЕНИЯМИ В PYTHON Открытие файлов Функция open() используется для открытия файлов: file = open('filename.txt', 'mode') Режимы о..."
7,3,"в объект: data = json.loads(json_str) Работа с CSV import csv Чтение CSV: with open('data.csv', 'r') as f: reader = csv.reader(f) for row in reader: p..."
8,4,NUM PY: БИБЛИОТЕКА ДЛЯ НАУЧНЫХ ВЫЧИСЛЕНИЙ Что такое NumPy NumPy (Numerical Python) - фундаментальная библиотека для научных вычислений в Python. Основ...
9,4,"- все строки, столбец 1 Операции с массивами Арифметические операции выполняются поэлементно: arr1 + arr2, arr1 * arr2, arr1 ** 2 Универсальные функци..."
10,5,PANDAS: БИБЛИОТЕКА ДЛЯ АНАЛИЗА ДАННЫХ Введение в Pandas Pandas - мощная библиотека для анализа и манипуляции данными. Предоставляет две основные струк...
11,5,- информация о DataFrame df.describe() - статистика по числовым колонкам df.shape - размерность df.columns - список колонок df.dtypes - типы данных Вы...
12,6,"MATPLOTLIB: ВИЗУАЛИЗАЦИЯ ДАННЫХ Основы Matplotlib Matplotlib - библиотека для создания статических, анимированных и интерактивных визуализаций. Pyplot..."
13,6,"plt.contour(X, Y, Z) 3D графики: from mpl_toolkits.mplot3d import Axes3D Настройка осей plt.xlim(0, 10) # пределы X plt.ylim(-1, 1) # пределы Y plt.xt..."
14,7,SCI KIT-LEARN: БИБЛИОТЕКА ДЛЯ МАШИННОГО ОБУЧЕНИЯ Введение в Scikit-learn Scikit-learn - библиотека для машинного обучения в Python. Включает алгоритмы...
15,7,"X_train, X_test, y_train, y_test = train_test_split( X, y, test_size=0.2, random_state=42 ) Кросс-валидация from sklearn.model_selection import cross_..."
16,7,"качества Классификация: from sklearn.metrics import accuracy_score, precision_score, recall_score from sklearn.metrics import f1_score, roc_auc_score,..."
17,8,АСИНХРОННОЕ ПРОГРАММИРОВАНИЕ В PYTHON Введение в асинхронность Асинхронное программирование позволяет выполнять несколько операций одновременно без со...
18,8,задач async def main(): # Запуск без ожидания task = asyncio.create_task(my_coroutine()) # Отмена задачи task.cancel() try: await task except asyncio....
19,8,"return content Асинхронные базы данных: import asyncpg async def query_db(): conn = await asyncpg.connect(user='user', password='pass') rows = await c..."
